,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
398,36,464.0,70.66,55.72,15.42,5.27,,1
399,6,1142.0,,,,,-2.77,0
400,18,1142.0,100.56,46.63,14.71,4.68,-2.87,0
401,6,1963.0,101.51,43.25,12.95,5.39,-2.04,0
402,18,1963.0,91.15,78.2,18.54,6.45,,0
403,6,2536.0,143.44,20.26,7.44,3.81,-2.52,1
404,18,2536.0,97.0,46.3,13.83,5.12,-1.69,1
405,30,2536.0,96.77,41.08,14.17,4.44,-2.58,1
406,36,2536.0,131.91,42.52,11.26,5.48,-2.37,1
407,6,3092.0,121.36,40.5,11.96,5.73,,1
408,18,3092.0,111.21,41.37,14.95,4.5,-2.4,1
409,6,3745.0,103.13,44.36,12.07,5.62,-2.06,1
410,18,3745.0,82.49,52.46,16.9,5.05,-1.79,1
411,36,3745.0,89.29,46.9,14.21,5.43,-1.81,1
412,6,629.0,130.27,20.97,9.16,3.46,-2.1,0
413,18,629.0,113.98,23.22,12.3,3.34,-3.5,0
414,6,1120.0,,,,,-1.63,1
415,18,1120.0,70.92,23.21,11.73,3.02,-2.23,1
416,30,1120.0,86.6,36.11,12.71,4.36,-2.42,1
417,36,1120.0,81.26,33.21,13.34,3.83,-2.52,1
418,6,1888.0,118.82,24.93,10.36,3.6,-2.17,1
419,18,1888.0,86.0,36.98,14.12,4.08,-2.3,1
420,36,1888.0,89.05,36.33,13.82,3.83,-1.41,1
421,6,2460.0,109.45,19.23,8.25,3.55,-1.92,1
422,18,2460.0,66.46,29.4,13.62,3.59,-1.85,1
423,30,2460.0,86.84,29.07,12.25,3.67,-3.94,1
424,36,2460.0,85.73,27.26,11.32,3.01,-0.93,1
425,6,3373.0,112.71,26.49,10.54,3.77,,0
426,6,3869.0,108.67,31.29,10.86,4.09,-2.33,1
427,18,3869.0,92.38,35.47,12.54,4.43,-3.0,1
428,36,3869.0,107.78,40.8,14.73,4.09,-1.97,1
429,6,591.0,113.71,33.74,11.27,4.37,-1.9,0
430,18,591.0,95.88,36.74,16.02,3.69,-1.72,0
431,6,1214.0,,,,,-1.85,0
432,18,1214.0,99.78,38.12,13.01,4.82,-1.89,0
433,6,1768.0,112.41,27.71,9.25,4.42,-2.07,1
434,18,1768.0,100.4,38.84,12.33,4.78,-1.87,1
435,30,1768.0,110.09,30.27,10.04,4.53,-3.57,1
436,36,1768.0,87.67,47.16,14.1,5.08,,1
437,6,2604.0,111.3,23.67,8.93,3.65,-2.42,0
438,18,2604.0,,,,,-1.83,0
439,6,3450.0,104.51,25.95,11.33,3.31,,1
440,6,3776.0,107.88,27.91,9.34,4.17,-2.1,1
441,18,3776.0,92.58,40.65,15.17,4.08,-2.48,1
442,36,3776.0,105.29,36.2,14.07,3.4,-1.63,1
443,6,532.0,119.9,28.91,9.48,4.49,-1.7,0
444,18,532.0,80.07,20.82,10.02,3.33,-2.76,0
